[DEBUG] 2018-02-12 17:19:55.934 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@74f6c5d8
[DEBUG] 2018-02-12 17:19:55.936 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4bbf6d0e
[DEBUG] 2018-02-12 17:19:55.936 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4bbf6d0e
[DEBUG] 2018-02-12 17:19:55.938 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@13bc8645
[DEBUG] 2018-02-12 17:19:55.939 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@13bc8645
[DEBUG] 2018-02-12 17:19:55.988 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5f20155b
[DEBUG] 2018-02-12 17:19:55.988 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5f20155b
[DEBUG] 2018-02-12 17:19:55.993 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7d94beb9
[DEBUG] 2018-02-12 17:19:55.993 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7d94beb9
[DEBUG] 2018-02-12 17:19:56.002 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4d6025c5
[DEBUG] 2018-02-12 17:19:56.002 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4d6025c5
[DEBUG] 2018-02-12 17:19:56.009 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4f4c4b1a
[DEBUG] 2018-02-12 17:19:56.009 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4f4c4b1a
[DEBUG] 2018-02-12 17:19:56.012 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4fa1c212
[DEBUG] 2018-02-12 17:19:56.013 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4fa1c212
[DEBUG] 2018-02-12 17:19:56.016 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@352ff4da
[DEBUG] 2018-02-12 17:19:56.016 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@352ff4da
[DEBUG] 2018-02-12 17:19:56.022 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1cd629b3
[DEBUG] 2018-02-12 17:19:56.022 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1cd629b3
[DEBUG] 2018-02-12 17:19:56.024 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1cb346ea
[DEBUG] 2018-02-12 17:19:56.024 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1cb346ea
[DEBUG] 2018-02-12 17:19:56.026 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@e3c0e40
[DEBUG] 2018-02-12 17:19:56.026 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@e3c0e40
[DEBUG] 2018-02-12 17:19:56.027 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@11d8ae8b
[DEBUG] 2018-02-12 17:19:56.028 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@11d8ae8b
[DEBUG] 2018-02-12 17:19:56.028 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@11d8ae8b
[DEBUG] 2018-02-12 17:19:56.033 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2b72cb8a
[DEBUG] 2018-02-12 17:19:56.035 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@4bf48f6
[DEBUG] 2018-02-12 17:19:56.035 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@4bf48f6
[DEBUG] 2018-02-12 17:19:56.035 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@4bf48f6
[DEBUG] 2018-02-12 17:19:56.036 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@62833051
[DEBUG] 2018-02-12 17:19:56.038 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@13b3d178
[DEBUG] 2018-02-12 17:19:56.038 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@13b3d178
[DEBUG] 2018-02-12 17:19:56.039 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@51c693d
